time,magnitude,e_magnitude,zp,e_zp,band,instrument,upperlimit,z
58947.14129638672,15.392092337408018,0.12137706517685952,-48.6,0.02,tess,=-tess,False,0.00744
58947.162109375,15.4123765434072,0.10823961505428303,-48.6,0.02,tess,=-tess,False,0.00744
58947.18292236328,15.455018959034673,0.11947787623460844,-48.6,0.02,tess,=-tess,False,0.00744
58947.20379638672,15.441815653574285,0.12525185753773213,-48.6,0.02,tess,=-tess,False,0.00744
58947.224609375,15.448397000961931,0.12035011091578729,-48.6,0.02,tess,=-tess,False,0.00744
58947.24542236328,15.431005924802227,0.11162260100066343,-48.6,0.02,tess,=-tess,False,0.00744
58947.26629638672,15.455429685720972,0.12343125679370803,-48.6,0.02,tess,=-tess,False,0.00744
58947.287109375,15.435552996972675,0.1286853704113134,-48.6,0.02,tess,=-tess,False,0.00744
58947.30792236328,15.436823982678455,0.13265690477207748,-48.6,0.02,tess,=-tess,False,0.00744
58947.32879638672,15.427177615918705,0.12109052093588543,-48.6,0.02,tess,=-tess,False,0.00744
58947.349609375,15.41854972238049,0.12999114200341155,-48.6,0.02,tess,=-tess,False,0.00744
58947.37042236328,15.44293290922729,0.12793486980514132,-48.6,0.02,tess,=-tess,False,0.00744
58947.39129638672,15.4158167820652,0.1236467162604683,-48.6,0.02,tess,=-tess,False,0.00744
58947.412109375,15.409843142814475,0.1038639864493038,-48.6,0.02,tess,=-tess,False,0.00744
58947.43292236328,15.410530810812773,0.12756636886053338,-48.6,0.02,tess,=-tess,False,0.00744
58947.45379638672,15.41037556831786,0.1286428065395949,-48.6,0.02,tess,=-tess,False,0.00744
58947.474609375,15.40786482199948,0.11358356638908071,-48.6,0.02,tess,=-tess,False,0.00744
58947.49542236328,15.421551623178708,0.10878959585618098,-48.6,0.02,tess,=-tess,False,0.00744
58947.51629638672,15.455297980195382,0.11860868448617676,-48.6,0.02,tess,=-tess,False,0.00744
58947.537109375,15.42227246362177,0.1215748924240365,-48.6,0.02,tess,=-tess,False,0.00744
58947.55792236328,15.403135130561601,0.11137899593765709,-48.6,0.02,tess,=-tess,False,0.00744
58947.57879638672,15.41012399226991,0.11680880681669566,-48.6,0.02,tess,=-tess,False,0.00744
58947.599609375,15.407152169186013,0.1127545049267303,-48.6,0.02,tess,=-tess,False,0.00744
58947.62042236328,15.445953736335332,0.12041752685951956,-48.6,0.02,tess,=-tess,False,0.00744
58947.64129638672,15.426002335897564,0.10652552178860035,-48.6,0.02,tess,=-tess,False,0.00744
